Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
7200 , 753.9822368615503 , 2.304563575970645 , 1725 , 0.257 , 72 , 27
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 80.0 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4 , 60 , 1
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, PSCs, PSCp1, PSCp2, PSCr1, PSCr2,fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, torque_density
10 , 28.6 , 0.5 , 0.5 , 60 , 39 , 33 , 138 , 132 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.753 , 20.431 , 23.124 , 20.431 , 23.124 , 0.652 , 0.76 , 65.911 , 7.842282317171202 , 101.09
8 , 29.571428571428573 , 0.8 , 0.8 , 28 , 36 , 28 , 100 , 92 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.66 , 17.212 , 20.823 , 17.212 , 20.823 , 0.651 , 0.79 , 68.149 , 6.677452148363711 , 104.684
9 , 30.333333333333332 , 0.6 , 0.6 , 54 , 39 , 33 , 132 , 126 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.373 , 15.738 , 17.808 , 15.738 , 17.808 , 0.67 , 0.759 , 69.905 , 5.8621761170287385 , 104.336
10 , 31.0 , 0.5 , 0.5 , 80 , 40 , 35 , 160 , 155 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.509 , 22.955 , 25.31 , 22.955 , 25.31 , 0.741 , 0.732 , 71.441 , 8.930597684420178 , 96.412
9 , 33.0 , 0.8 , 0.8 , 24 , 36 , 28 , 96 , 88 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.283 , 20.032 , 24.22 , 20.032 , 24.22 , 0.659 , 0.786 , 76.051 , 7.936875383525971 , 115.404
8 , 33.0 , 0.8 , 0.8 , 24 , 36 , 28 , 96 , 88 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.283 , 20.032 , 24.22 , 20.032 , 24.22 , 0.659 , 0.786 , 76.051 , 7.936875383525971 , 115.404
8 , 34.09090909090909 , 0.5 , 0.5 , 66 , 45 , 39 , 156 , 150 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.561 , 21.06 , 23.24 , 21.06 , 23.24 , 0.725 , 0.761 , 78.565 , 8.062816846293861 , 108.366
14 , 35.714285714285715 , 0.7 , 0.7 , 28 , 40 , 32 , 108 , 100 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.453 , 24.701 , 29.059 , 24.701 , 29.059 , 0.7 , 0.791 , 82.306 , 9.869579797855208 , 117.58
10 , 36.75 , 0.7 , 0.7 , 40 , 35 , 30 , 110 , 105 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.745 , 20.732 , 23.33 , 20.732 , 23.33 , 0.694 , 0.72 , 84.693 , 8.06740221633202 , 122.036
5 , 37.81818181818182 , 0.7 , 0.7 , 44 , 32 , 28 , 108 , 104 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.95 , 27.91 , 31.0 , 27.91 , 31.0 , 0.733 , 0.677 , 87.154 , 11.160742100944978 , 118.9
12 , 39.0 , 0.7 , 0.7 , 28 , 42 , 34 , 112 , 104 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.443 , 25.821 , 30.012 , 25.821 , 30.012 , 0.731 , 0.791 , 89.878 , 10.315415090716467 , 122.952
11 , 40.0 , 0.7 , 0.7 , 35 , 35 , 30 , 105 , 100 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.07 , 23.635 , 26.589 , 23.635 , 26.589 , 0.699 , 0.717 , 92.183 , 9.310684447484261 , 131.878
8 , 40.0 , 0.7 , 0.7 , 35 , 35 , 30 , 105 , 100 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.07 , 23.635 , 26.589 , 23.635 , 26.589 , 0.699 , 0.717 , 92.183 , 9.310684447484261 , 131.878
11 , 41.72727272727273 , 0.7 , 0.7 , 44 , 34 , 30 , 112 , 108 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.943 , 29.272 , 32.241 , 29.272 , 32.241 , 0.766 , 0.677 , 96.163 , 11.714580232997097 , 125.539
7 , 42.666666666666664 , 0.8 , 0.8 , 36 , 32 , 28 , 100 , 96 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.921 , 26.006 , 28.872 , 26.006 , 28.872 , 0.745 , 0.672 , 98.328 , 10.375199517376053 , 131.984
5 , 43.5 , 0.5 , 0.5 , 60 , 45 , 40 , 150 , 145 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.087 , 33.712 , 36.536 , 33.712 , 36.536 , 0.815 , 0.727 , 100.249 , 13.411410274951725 , 123.005
9 , 44.2 , 0.7 , 0.7 , 40 , 34 , 30 , 108 , 104 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.185 , 32.139 , 35.393 , 32.139 , 35.393 , 0.774 , 0.675 , 101.862 , 12.930633754346518 , 131.605
9 , 46.0 , 0.8 , 0.8 , 32 , 32 , 28 , 96 , 92 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.241 , 29.185 , 32.392 , 29.185 , 32.392 , 0.756 , 0.67 , 106.01 , 11.732458236775596 , 140.225
5 , 46.0 , 0.8 , 0.8 , 32 , 32 , 28 , 96 , 92 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.241 , 29.185 , 32.392 , 29.185 , 32.392 , 0.756 , 0.67 , 106.01 , 11.732458236775596 , 140.225
7 , 47.22222222222222 , 0.7 , 0.7 , 36 , 34 , 30 , 104 , 100 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.499 , 35.638 , 39.238 , 35.638 , 39.238 , 0.78 , 0.673 , 108.827 , 14.41023199543888 , 139.522
7 , 48.6 , 0.7 , 0.7 , 40 , 36 , 32 , 112 , 108 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.178 , 33.645 , 36.771 , 33.645 , 36.771 , 0.812 , 0.675 , 112.002 , 13.545188812828549 , 137.933
9 , 49.23076923076923 , 0.6 , 0.6 , 52 , 40 , 36 , 132 , 128 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.148 , 38.569 , 41.615 , 38.569 , 41.615 , 0.87 , 0.68 , 113.455 , 15.546785961229896 , 130.408
12 , 51.0 , 0.8 , 0.8 , 32 , 34 , 30 , 100 , 96 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.232 , 30.628 , 33.713 , 30.628 , 33.713 , 0.797 , 0.67 , 117.533 , 12.325113596263193 , 147.469
6 , 51.0 , 0.8 , 0.8 , 32 , 34 , 30 , 100 , 96 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.232 , 30.628 , 33.713 , 30.628 , 33.713 , 0.797 , 0.67 , 117.533 , 12.325113596263193 , 147.469
4 , 52.0 , 0.7 , 0.7 , 36 , 36 , 32 , 108 , 104 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.49 , 37.315 , 40.774 , 37.315 , 40.774 , 0.828 , 0.673 , 119.837 , 15.09977719137966 , 144.731
4 , 53.2 , 0.6 , 0.6 , 40 , 38 , 34 , 116 , 112 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.955 , 47.858 , 51.944 , 47.858 , 51.944 , 0.862 , 0.675 , 122.603 , 19.47201661141373 , 142.231
6 , 54.54545454545455 , 0.5 , 0.5 , 55 , 50 , 45 , 155 , 150 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.292 , 40.357 , 43.179 , 40.357 , 43.179 , 0.917 , 0.725 , 125.703 , 16.174602882155046 , 137.081
10 , 56.0 , 0.9 , 0.9 , 24 , 32 , 28 , 88 , 84 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.613 , 30.569 , 33.904 , 30.569 , 33.904 , 0.796 , 0.662 , 129.056 , 12.367334726656543 , 162.131
10 , 56.0 , 0.9 , 0.9 , 24 , 32 , 28 , 88 , 84 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.613 , 30.569 , 33.904 , 30.569 , 33.904 , 0.796 , 0.662 , 129.056 , 12.367334726656543 , 162.131
6 , 57.0 , 0.7 , 0.7 , 36 , 38 , 34 , 112 , 108 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.482 , 39.001 , 42.325 , 39.001 , 42.325 , 0.872 , 0.673 , 131.36 , 15.790942090339636 , 150.642
3 , 58.0 , 0.5 , 0.5 , 50 , 50 , 45 , 150 , 145 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.56 , 44.345 , 47.442 , 44.345 , 47.442 , 0.933 , 0.724 , 133.665 , 17.84389353356977 , 143.264
5 , 59.18181818181818 , 0.6 , 0.6 , 44 , 42 , 38 , 128 , 124 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.612 , 47.369 , 50.811 , 47.369 , 50.811 , 0.938 , 0.677 , 136.388 , 19.21992227723966 , 145.403
3 , 60.8 , 0.5 , 0.5 , 60 , 48 , 44 , 156 , 152 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.6 , 56.387 , 59.675 , 56.387 , 59.675 , 1.036 , 0.682 , 140.117 , 22.88456724079094 , 135.248
