iter,gearRatio,moduleBig,moduleSmall,Ns,NpBig,NpSmall,NrBig,NrSmall,numPlanet,fwSunMM,fwPlanetBigMM,fwPanetSmallMM,fwRingBigMM,fwRingSmallMM,mass,eff,peakTorque,Cost,Torque_Density,Outer_Bearing_mass,Actuator_width
5,46.0,0.8,0.8,32,32,28,96,92,4,2.241,29.185,32.392,29.185,32.392,1.049,0.67,106.01,12.025678610957547,101.058,0.103,130.07653229222717
7,47.22222222222222,0.7,0.7,36,34,30,104,100,4,2.499,35.638,39.238,35.638,39.238,1.061,0.673,108.827,14.69119931906575,102.57,0.081,142.37562305546135
7,48.6,0.7,0.7,40,36,32,112,108,4,2.178,33.645,36.771,33.645,36.771,1.128,0.675,112.002,13.860910691399075,99.293,0.103,138.9163874742678
9,49.23076923076923,0.6,0.6,52,40,36,132,128,4,2.148,38.569,41.615,38.569,41.615,1.235,0.68,113.455,15.910894440261782,91.866,0.128,148.68334151052554
12,51.0,0.8,0.8,32,34,30,100,96,4,2.232,30.628,33.713,30.628,33.713,1.106,0.67,117.533,12.634627743164625,106.269,0.103,132.84096429314238
6,51.0,0.8,0.8,32,34,30,100,96,4,2.232,30.628,33.713,30.628,33.713,1.106,0.67,117.533,12.634627743164625,106.269,0.103,132.84096429314238
4,52.0,0.7,0.7,36,36,32,108,104,4,2.49,37.315,40.774,37.315,40.774,1.15,0.673,119.837,15.421801366727438,104.206,0.103,146.5882560047225
4,53.2,0.6,0.6,40,38,34,116,112,4,2.955,47.858,51.944,47.858,51.944,1.176,0.675,122.603,19.7857800698906,104.254,0.081,167.30189381641475
6,54.54545454545455,0.5,0.5,55,50,45,155,150,5,2.292,40.357,43.179,40.357,43.179,1.274,0.725,125.703,16.531753483113977,98.668,0.103,152.03641399493287
10,56.0,0.9,0.9,24,32,28,88,84,4,2.613,30.569,33.904,30.569,33.904,1.106,0.662,129.056,12.676690553267779,116.687,0.103,132.9736386949161
10,56.0,0.9,0.9,24,32,28,88,84,4,2.613,30.569,33.904,30.569,33.904,1.106,0.662,129.056,12.676690553267779,116.687,0.103,132.9736386949161
6,57.0,0.7,0.7,36,38,34,112,108,4,2.482,39.001,42.325,39.001,42.325,1.211,0.673,131.36,16.1306156912516,108.472,0.103,149.82607333697698
3,58.0,0.5,0.5,50,50,45,150,145,5,2.56,44.345,47.442,44.345,47.442,1.275,0.724,133.665,18.185545492128508,104.835,0.081,159.28728502035997
5,59.18181818181818,0.6,0.6,44,42,38,128,124,4,2.612,47.369,50.811,47.369,50.811,1.304,0.677,136.388,19.586167278796747,104.592,0.103,166.68065800779806
3,60.8,0.5,0.5,60,48,44,156,152,4,2.6,56.387,59.675,56.387,59.675,1.441,0.682,140.117,23.290188073943018,97.236,0.103,184.56143864041982
