time_s,odrive_pos_rad,output_pos_rad,diff_rad,odrive_disp_rad,output_disp_rad,motor_on_output_side_rad,backlash_rad
4.357542,-4.761945,3.243602,-8.005548,0.0,-0.0,0.0,0.0
4.35977,-4.76181,3.243219,-8.005029,0.00013500000000021828,0.00038300000000024426,1.8750000000030315e-05,-0.00036425000000021396
4.363282,-4.762313,3.243219,-8.005532,-0.00036799999999992394,0.00038300000000024426,-5.1111111111100544e-05,-0.0004341111111113448
4.367624,-4.762277,3.243602,-8.005879,-0.000332000000000221,-0.0,-4.6111111111141805e-05,-4.6111111111141805e-05
4.369163,-4.762479,3.243602,-8.006081,-0.0005340000000000344,-0.0,-7.416666666667145e-05,-7.416666666667145e-05
4.372204,-4.762899,3.243602,-8.006501,-0.0009540000000001214,-0.0,-0.00013250000000001685,-0.00013250000000001685
4.374977,-4.761776,3.243986,-8.005762,0.00016899999999964166,-0.00038399999999993994,2.347222222217245e-05,0.0004074722222221124
4.378174,-4.762672,3.243986,-8.006658,-0.0007270000000003662,-0.00038399999999993994,-0.00010097222222227309,0.00028302777777766686
4.380896,-4.762336,3.243602,-8.005939,-0.0003910000000004743,-0.0,-5.430555555562143e-05,-5.430555555562143e-05
4.38453,-4.76137,3.243602,-8.004972,0.0005749999999995481,-0.0,7.986111111104834e-05,7.986111111104834e-05
4.387933,-4.762462,3.243602,-8.006064,-0.0005170000000003228,-0.0,-7.180555555560038e-05,-7.180555555560038e-05
4.390659,-4.762122,3.243986,-8.006108,-0.0001769999999998717,-0.00038399999999993994,-2.4583333333315514e-05,0.00035941666666662445
4.39426,-4.761739,3.244369,-8.006108,0.00020599999999948437,-0.0007669999999997401,2.8611111111039495e-05,0.0007956111111107796
4.397429,-4.760815,3.243219,-8.004034,0.0011299999999998533,0.00038300000000024426,0.00015694444444442406,-0.0002260555555558202
4.400177,-4.761519,3.243602,-8.005121,0.00042600000000003746,-0.0,5.916666666667187e-05,5.916666666667187e-05
4.403303,-4.761349,3.243602,-8.004951,0.0005959999999998189,-0.0,8.277777777775263e-05,8.277777777775263e-05
4.408252,-4.761258,3.243219,-8.004477,0.0006870000000001042,0.00038300000000024426,9.541666666668114e-05,-0.0002875833333335631
4.409375,-4.760667,3.243219,-8.003886,0.0012780000000001124,0.00038300000000024426,0.00017750000000001562,-0.00020550000000022864
4.41292,-4.760007,3.243219,-8.003226,0.0019379999999999953,0.00038300000000024426,0.000269166666666666,-0.00011383333333357827
4.416216,-4.760403,3.243219,-8.003622,0.0015419999999997103,0.00038300000000024426,0.00021416666666662643,-0.00016883333333361783
4.419488,-4.759086,3.243219,-8.002304,0.002858999999999945,0.00038300000000024426,0.0003970833333333257,1.4083333333081427e-05
4.422257,-4.759511,3.243602,-8.003113,0.0024340000000000472,-0.0,0.0003380555555555621,0.0003380555555555621
4.425454,-4.758201,3.243602,-8.001804,0.0037440000000001916,-0.0,0.0005200000000000266,0.0005200000000000266
4.428751,-4.758613,3.243602,-8.002215,0.0033319999999994465,-0.0,0.0004627777777777009,0.0004627777777777009
4.431677,-4.756792,3.243602,-8.000395,0.005152999999999963,-0.0,0.0007156944444444393,0.0007156944444444393
4.434889,-4.75637,3.242835,-7.999205,0.0055749999999994415,0.0007670000000001842,0.000774305555555478,7.305555555293811e-06
4.437988,-4.755181,3.242452,-7.997633,0.006763999999999548,0.0011499999999999844,0.0009394444444443817,-0.00021055555555560268
4.440891,-4.754681,3.242835,-7.997517,0.007264000000000159,0.0007670000000001842,0.001008888888888911,0.00024188888888872673
4.443735,-4.754884,3.242835,-7.99772,0.007061000000000206,0.0007670000000001842,0.000980694444444473,0.00021369444444428883
4.446791,-4.752989,3.242835,-7.995825,0.00895599999999952,0.0007670000000001842,0.0012438888888888222,0.000476888888888638
4.449415,-4.752115,3.242068,-7.994184,0.009830000000000005,0.0015339999999999243,0.0013652777777777784,-0.0001687222222221459
4.452548,-4.750177,3.241685,-7.991862,0.011768,0.0019170000000001686,0.0016344444444444444,-0.0002825555555557241
4.458166,-4.747263,3.240918,-7.988181,0.01468199999999964,0.0026839999999999087,0.0020391666666666167,-0.000644833333333292
4.458813,-4.735817,3.239767,-7.975585,0.02612799999999993,0.003835000000000033,0.003628888888888879,-0.00020611111111115384
4.462486,-4.723333,3.238233,-7.961567,0.03861199999999965,0.005368999999999957,0.0053627777777777285,-6.222222222228638e-06
4.465381,-4.717385,3.236316,-7.9537,0.04455999999999971,0.007286000000000126,0.006188888888888849,-0.0010971111111112769
4.468749,-4.700925,3.235165,-7.93609,0.061020000000000074,0.00843700000000025,0.00847500000000001,3.799999999976045e-05
4.471723,-4.695632,3.234015,-7.929647,0.06631300000000007,0.009587000000000234,0.009210138888888898,-0.0003768611111113363
4.474736,-4.677326,3.232098,-7.909424,0.084619,0.011503999999999959,0.011752638888888889,0.00024863888888893015
4.477943,-4.668835,3.229413,-7.898248,0.09311000000000025,0.014189000000000007,0.012931944444444479,-0.0012570555555555286
4.481149,-4.647652,3.227496,-7.875148,0.11429299999999998,0.016106000000000176,0.015874027777777775,-0.00023197222222240063
4.484105,-4.632421,3.225195,-7.857616,0.12952399999999997,0.018407000000000284,0.01798944444444444,-0.0004175555555558444
4.487325,-4.620489,3.222894,-7.843383,0.1414559999999998,0.02070799999999995,0.01964666666666664,-0.00106133333333331
4.49031,-4.601369,3.220976,-7.822345,0.16057599999999983,0.022626000000000257,0.0223022222222222,-0.000323777777778058
4.493488,-4.590253,3.219059,-7.809312,0.17169200000000018,0.02454299999999998,0.023846111111111134,-0.0006968888888888476
4.497723,-4.572982,3.216758,-7.78974,0.18896300000000021,0.02684400000000009,0.02624486111111114,-0.0005991388888889511
4.499029,-4.565804,3.215607,-7.781411,0.1961409999999999,0.027995000000000214,0.02724180555555554,-0.0007531944444446742
4.502671,-4.551734,3.214073,-7.765807,0.21021100000000015,0.02952900000000014,0.02919597222222224,-0.00033302777777789727
4.50568,-4.546718,3.212923,-7.759641,0.2152269999999996,0.030679000000000123,0.029892638888888833,-0.0007863611111112896
4.508736,-4.530041,3.211005,-7.741046,0.2319040000000001,0.03259699999999999,0.032208888888888905,-0.00038811111111108215
4.511533,-4.523828,3.209855,-7.733683,0.2381169999999999,0.03374699999999997,0.03307180555555554,-0.0006751944444444297
4.514553,-4.505408,3.20717,-7.712578,0.2565369999999998,0.03643200000000002,0.03563013888888886,-0.0008018611111111629
4.518008,-4.49563,3.204102,-7.699732,0.26631499999999964,0.03950000000000031,0.03698819444444439,-0.0025118055555559196
4.520761,-4.476285,3.200651,-7.676936,0.28566,0.04295099999999996,0.039675,-0.0032759999999999595
4.524862,-4.451585,3.19835,-7.649935,0.3103600000000002,0.04525200000000007,0.043105555555555584,-0.0021464444444444855
4.528605,-4.430199,3.196432,-7.626631,0.3317459999999999,0.047169999999999934,0.046075833333333316,-0.0010941666666666183
4.530962,-4.4217,3.194131,-7.615831,0.34024499999999946,0.04947100000000004,0.04725624999999992,-0.0022147500000001194
4.534337,-4.403435,3.191831,-7.595266,0.3585099999999999,0.05177100000000001,0.049793055555555535,-0.0019779444444444766
