time_s,odrive_pos_rad,output_pos_rad,diff_rad,odrive_disp_rad,output_disp_rad,motor_on_output_side_rad,backlash_rad
4.613474,25.115614,3.07218,22.043434,-4.880306999999998,-0.37064799999999964,-0.34859335714285705,0.022054642857142592
4.614222,25.116248,3.071413,22.044835,-4.879673,-0.3698809999999999,-0.34854807142857147,0.021332928571428433
4.617824,25.11573,3.071797,22.043933,-4.880191,-0.37026499999999984,-0.3485850714285714,0.02167992857142842
4.620985,25.115903,3.071413,22.04449,-4.880018,-0.3698809999999999,-0.3485727142857143,0.021308285714285613
4.620985,25.115903,3.071413,22.04449,-4.880018,-0.3698809999999999,-0.3485727142857143,0.021308285714285613
4.627344,25.116594,3.071797,22.044797,-4.879327,-0.37026499999999984,-0.34852335714285715,0.021741642857142696
4.630123,25.116855,3.071413,22.045442,-4.879065999999998,-0.3698809999999999,-0.34850471428571417,0.021376285714285737
4.633402,25.117673,3.071413,22.04626,-4.878247999999999,-0.3698809999999999,-0.34844628571428565,0.02143471428571425
4.635916,25.118297,3.071413,22.046884,-4.877624000000001,-0.3698809999999999,-0.34840171428571437,0.021479285714285534
4.639426,25.119313,3.071413,22.0479,-4.876608000000001,-0.3698809999999999,-0.34832914285714295,0.021551857142856956
4.642517,25.120504,3.071413,22.049091,-4.875416999999999,-0.3698809999999999,-0.34824407142857133,0.02163692857142857
4.645719,25.121761,3.071413,22.050348,-4.87416,-0.3698809999999999,-0.3481542857142857,0.02172671428571421
4.648474,25.123394,3.07103,22.052364,-4.872526999999998,-0.36949799999999966,-0.3480376428571427,0.021460357142856934
4.653274,25.125931,3.070646,22.055285,-4.869989999999998,-0.3691139999999997,-0.3478564285714284,0.02125757142857132
4.654748,25.126737,3.070646,22.056091,-4.869184000000001,-0.3691139999999997,-0.3477988571428572,0.021315142857142533
4.657951,25.130367,3.070263,22.060104,-4.8655539999999995,-0.3687309999999999,-0.3475395714285714,0.021191428571428528
4.663481,25.134317,3.069879,22.064438,-4.861604,-0.36834699999999954,-0.34725742857142855,0.021089571428570986
4.664461,25.141535,3.069496,22.072039,-4.854385999999998,-0.36796399999999974,-0.346741857142857,0.021222142857142745
4.667854,25.148477,3.069112,22.079364,-4.847443999999999,-0.3675799999999998,-0.34624599999999994,0.021333999999999853
4.670897,25.154025,3.068345,22.08568,-4.841895999999998,-0.3668129999999996,-0.34584971428571415,0.020963285714285462
4.674215,25.163789,3.068345,22.095444,-4.832131999999998,-0.3668129999999996,-0.3451522857142856,0.021660714285714033
4.676909,25.17261,3.067578,22.105032,-4.823311,-0.36604599999999987,-0.34452221428571433,0.021523785714285537
4.679779,25.17977,3.066811,22.112959,-4.816150999999998,-0.3652789999999997,-0.34401078571428556,0.021268214285714127
4.683079,25.191722,3.066428,22.125294,-4.8041990000000006,-0.3648959999999999,-0.3431570714285715,0.021738928571428395
4.685692,25.201198,3.065277,22.135921,-4.794722999999998,-0.36374499999999976,-0.3424802142857141,0.02126478571428564
4.689222,25.216918,3.06451,22.152408,-4.7790029999999994,-0.3629779999999996,-0.3413573571428571,0.02162064285714249
4.692467,25.231461,3.062976,22.168485,-4.76446,-0.36144399999999965,-0.3403185714285714,0.02112542857142824
4.695374,25.245228,3.062593,22.182636,-4.750692999999998,-0.36106099999999985,-0.33933521428571417,0.021725785714285684
4.698088,25.253938,3.061826,22.192112,-4.741982999999998,-0.36029399999999967,-0.33871307142857127,0.021580928571428404
4.700979,25.26544,3.061059,22.204381,-4.7304809999999975,-0.35952699999999993,-0.33789149999999984,0.021635500000000085
4.704217,25.275252,3.059908,22.215343,-4.720669000000001,-0.3583759999999998,-0.3371906428571429,0.02118535714285691
4.7068,25.282035,3.059525,22.22251,-4.713885999999999,-0.35799299999999956,-0.3367061428571428,0.021286857142856774
4.709828,25.294402,3.058758,22.235645,-4.701518999999998,-0.3572259999999998,-0.33582278571428553,0.02140321428571429
4.713051,25.302495,3.058374,22.244121,-4.693425999999999,-0.3568419999999999,-0.3352447142857142,0.021597285714285708
4.715729,25.315588,3.057224,22.258364,-4.680332999999997,-0.3556919999999999,-0.3343094999999998,0.021382500000000082
4.718963,25.327593,3.056457,22.271136,-4.668327999999999,-0.3549249999999997,-0.3334519999999999,0.021472999999999798
4.723437,25.348655,3.054923,22.293732,-4.647265999999998,-0.3533909999999998,-0.3319475714285713,0.021443428571428502
4.725318,25.360418,3.054156,22.306262,-4.635503,-0.3526239999999996,-0.33110735714285716,0.021516642857142443
4.728261,25.379601,3.052622,22.32698,-4.616319999999998,-0.3510899999999997,-0.32973714285714273,0.02135285714285695
4.73349,25.398872,3.051088,22.347784,-4.597048999999998,-0.34955599999999976,-0.3283606428571427,0.02119535714285703
4.734514,25.418981,3.048787,22.370195,-4.5769400000000005,-0.34725499999999965,-0.3269242857142857,0.020330714285713924
4.737643,25.437536,3.048403,22.389133,-4.558384999999998,-0.3468709999999997,-0.3255989285714284,0.021272071428571293
4.740594,25.455878,3.046869,22.409009,-4.540043000000001,-0.3453369999999998,-0.32428878571428577,0.021048214285714018
4.744112,25.474885,3.046102,22.428783,-4.521035999999999,-0.3445699999999996,-0.32293114285714275,0.02163885714285685
4.746401,25.49237,3.044952,22.447418,-4.503550999999998,-0.3434199999999996,-0.32168221428571414,0.021737785714285474
4.749412,25.509106,3.043418,22.465688,-4.486815,-0.3418859999999997,-0.32048678571428574,0.021399214285713952
4.752508,25.526093,3.041884,22.48421,-4.469828,-0.34035199999999977,-0.31927342857142854,0.021078571428571224
4.755447,25.542931,3.0415,22.501431,-4.45299,-0.3399679999999998,-0.31807071428571426,0.021897285714285564
4.758533,25.557213,3.04035,22.516864,-4.438707999999998,-0.33881799999999984,-0.3170505714285713,0.02176742857142855
4.763154,25.583468,3.038432,22.545035,-4.412452999999999,-0.33689999999999953,-0.3151752142857142,0.021724785714285322
4.764428,25.59633,3.036898,22.559432,-4.399591000000001,-0.3353659999999996,-0.31425650000000005,0.02110949999999956
4.767704,25.619759,3.034981,22.584778,-4.376162000000001,-0.3334489999999999,-0.31258300000000006,0.02086599999999983
4.770751,25.644935,3.034214,22.610721,-4.350985999999999,-0.3326819999999997,-0.3107847142857142,0.021897285714285508
4.774318,25.672487,3.032297,22.64019,-4.323433999999999,-0.33076499999999953,-0.3088167142857142,0.02194828571428531
4.776538,25.69727,3.029996,22.667275,-4.2986509999999996,-0.32846399999999987,-0.30704649999999994,0.021417499999999923
4.77962,25.724148,3.027311,22.696837,-4.271773,-0.3257789999999998,-0.3051266428571428,0.020652357142857014
4.78283,25.749443,3.025394,22.72405,-4.246478,-0.32386199999999965,-0.30331985714285714,0.02054214285714251
4.785592,25.772513,3.024243,22.74827,-4.223407999999999,-0.3227109999999995,-0.30167199999999994,0.021038999999999586
4.788621,25.793315,3.022326,22.770989,-4.202605999999999,-0.3207939999999998,-0.3001861428571428,0.02060785714285701
4.793205,25.818922,3.021559,22.797363,-4.176998999999999,-0.3200269999999996,-0.2983570714285713,0.0216699285714283
4.794637,25.831883,3.019641,22.812242,-4.164037999999998,-0.31810899999999975,-0.29743128571428556,0.020677714285714188
4.7981,25.853625,3.018107,22.835518,-4.142295999999998,-0.31657499999999983,-0.2958782857142856,0.020696714285714235
4.801142,25.87828,3.016957,22.861323,-4.117640999999999,-0.31542499999999984,-0.2941172142857142,0.021307785714285654
4.804578,25.908591,3.015423,22.893168,-4.087329999999998,-0.3138909999999999,-0.2919521428571427,0.021938857142857204
4.807158,25.937365,3.012738,22.924627,-4.058555999999999,-0.31120599999999987,-0.2898968571428571,0.02130914285714275
4.810209,25.966088,3.010054,22.956034,-4.029833,-0.3085219999999995,-0.2878452142857143,0.020676785714285217
4.814082,26.000777,3.00852,22.992257,-3.995144,-0.3069879999999996,-0.28536742857142855,0.021620571428571045
4.816468,26.029308,3.006219,23.023089,-3.966612999999999,-0.30468699999999993,-0.2833294999999999,0.02135750000000003
4.819371,26.058921,3.003534,23.055387,-3.9369999999999976,-0.3020019999999999,-0.28121428571428553,0.020787714285714354
4.823062,26.087129,3.001233,23.085896,-3.9087919999999983,-0.2997009999999998,-0.27919942857142843,0.02050157142857134
4.825545,26.110903,2.999316,23.111587,-3.8850179999999988,-0.2977839999999996,-0.2775012857142856,0.020282714285713987
4.828808,26.140914,2.997398,23.143516,-3.8550070000000005,-0.29586599999999974,-0.27535764285714287,0.02050835714285687
4.833098,26.186925,2.995097,23.191827,-3.8089960000000005,-0.29356499999999963,-0.2720711428571429,0.02149385714285673
4.834873,26.204422,2.991646,23.212776,-3.791498999999998,-0.29011399999999954,-0.270821357142857,0.01929264285714255
4.838247,26.237537,2.989729,23.247808,-3.7583839999999995,-0.2881969999999998,-0.268456,0.019740999999999842
4.841237,26.265412,2.988195,23.277218,-3.730508999999998,-0.2866629999999999,-0.2664649285714284,0.020198071428571496
4.844483,26.296523,2.985894,23.31063,-3.6993979999999986,-0.2843619999999998,-0.26424271428571416,0.020119285714285617
4.847623,26.324842,2.983209,23.341633,-3.671078999999999,-0.28167699999999973,-0.2622199285714285,0.019457071428571227
4.850487,26.353305,2.981292,23.372013,-3.6426160000000003,-0.27975999999999956,-0.26018685714285716,0.0195731428571424
4.854119,26.389326,2.979758,23.409568,-3.6065949999999987,-0.27822599999999964,-0.25761392857142845,0.020612071428571188
4.856803,26.420974,2.97669,23.444284,-3.574946999999998,-0.2751579999999998,-0.255353357142857,0.019804642857142785
4.859745,26.45722,2.973238,23.483982,-3.5387009999999997,-0.27170599999999956,-0.2527643571428571,0.01894164285714245
4.862878,26.495476,2.97017,23.525306,-3.500444999999999,-0.2686379999999997,-0.25003178571428564,0.018606214285714073
4.865764,26.527088,2.967869,23.559218,-3.468833,-0.2663369999999996,-0.2477737857142857,0.01856321428571389
4.868983,26.563804,2.965568,23.598236,-3.432116999999998,-0.26403599999999994,-0.24515121428571415,0.018884785714285784
4.873182,26.61075,2.962884,23.647866,-3.3851709999999997,-0.2613519999999996,-0.24179792857142854,0.019554071428571046
4.874816,26.633196,2.960199,23.672997,-3.3627249999999975,-0.25866699999999954,-0.24019464285714268,0.01847235714285686
4.878259,26.667873,2.957515,23.710358,-3.328047999999999,-0.2559829999999996,-0.23771771428571423,0.0182652857142854
4.881328,26.704308,2.95483,23.749477,-3.291612999999998,-0.2532979999999996,-0.23511521428571416,0.018182785714285415
4.884223,26.736893,2.952913,23.78398,-3.2590280000000007,-0.25138099999999985,-0.23278771428571435,0.018593285714285507
4.88719,26.771503,2.949845,23.821658,-3.224418,-0.24831299999999956,-0.23031557142857143,0.017997428571428137
4.890159,26.806179,2.946777,23.859402,-3.189741999999999,-0.2452449999999997,-0.2278387142857142,0.017406285714285513
4.893317,26.840577,2.943326,23.897252,-3.1553439999999995,-0.24179399999999962,-0.22538171428571424,0.01641228571428538
4.896144,26.87899,2.940641,23.938348,-3.1169309999999975,-0.23910899999999957,-0.2226379285714284,0.016471071428571182
4.899638,26.920755,2.93834,23.982414,-3.0751659999999994,-0.2368079999999999,-0.21965471428571423,0.017153285714285676
4.902832,26.960285,2.934889,24.025396,-3.0356360000000002,-0.23335699999999981,-0.21683114285714286,0.016525857142856953
4.905696,26.996804,2.931821,24.064983,-2.9991169999999983,-0.23028899999999952,-0.21422264285714274,0.016066357142856785
4.908956,27.034021,2.92952,24.104501,-2.9619,-0.22798799999999986,-0.2115642857142857,0.016423714285714153
4.913056,27.089573,2.926835,24.162738,-2.9063479999999977,-0.2253029999999998,-0.20759628571428554,0.01770671428571427
4.914832,27.113629,2.923,24.190628,-2.8822919999999996,-0.22146799999999978,-0.20587799999999998,0.015589999999999798
4.918507,27.157509,2.919549,24.23796,-2.838411999999998,-0.21801699999999968,-0.20274371428571417,0.015273285714285517
4.921776,27.199217,2.918015,24.281202,-2.7967039999999983,-0.21648299999999976,-0.19976457142857132,0.01671842857142844
4.924504,27.240497,2.91303,24.327467,-2.755423999999998,-0.21149799999999974,-0.19681599999999985,0.01468199999999989
4.928057,27.279757,2.910729,24.369029,-2.716163999999999,-0.20919699999999963,-0.19401171428571423,0.015185285714285401
4.93121,27.323679,2.907661,24.416019,-2.6722420000000007,-0.20612899999999978,-0.1908744285714286,0.015254571428571173
4.934218,27.363191,2.904593,24.458599,-2.6327299999999987,-0.20306099999999994,-0.18805214285714275,0.015008857142857185
